id,name_en,group,resolved_file,match_method,grade,has_case_report
377,Dulaglutide,ยาชีวภาพ,Dulaglutide.nxml,exact,-,no
378,Dupilumab,ยาชีวภาพ,Dupilumab.nxml,exact,E,no
379,Durvalumab,ยาชีวภาพ,Durvalumab.nxml,exact,B,yes
380,Eculizumab,ยาชีวภาพ,Eculizumab.nxml,exact,D,yes
381,Erenumab,ยาชีวภาพ,Erenumab.nxml,exact,E,no
382,Etanercept,ยาชีวภาพ,Etanercept.nxml,exact,B,yes
383,Evolocumab,ยาชีวภาพ,Evolocumab.nxml,exact,E,no
384,Exenatide,ยาชีวภาพ,Exenatide.nxml,exact,-,no
385,Gemtuzumab ozogamicin,ยาชีวภาพ,GemtuzumabOzogamicin.nxml,exact,A,no
386,GlatiramerAcetate,ยาชีวภาพ,GlatiramerAcetate.nxml,exact,B,yes
387,Golimumab,ยาชีวภาพ,Golimumab.nxml,exact,E*,no
388,Goserelin,ยาชีวภาพ,Goserelin.nxml,exact,D,no
389,Guselkumab,ยาชีวภาพ,Guselkumab.nxml,exact,E*,no
390,Inotuzumab ozogamicin,ยาชีวภาพ,InotuzumabOzogamicin.nxml,exact,A,no
391,Insulin,ยาชีวภาพ,Insulin.nxml,exact,-,yes
392,Ipilimumab,ยาชีวภาพ,Ipilimumab.nxml,exact,A,yes
393,Ixekizumab,ยาชีวภาพ,Ixekizumab.nxml,exact,E,no
394,Lanreotide,ยาชีวภาพ,Lanreotide.nxml,exact,E*,no
395,Leuprolide,ยาชีวภาพ,Leuprolide.nxml,exact,E,no
396,Linaclotide,ยาชีวภาพ,Linaclotide.nxml,exact,E,no
397,Liraglutide,ยาชีวภาพ,Liraglutide.nxml,exact,-,no
398,Mepolizumab,ยาชีวภาพ,Mepolizumab.nxml,exact,E,no
399,Natalizumab,ยาชีวภาพ,Natalizumab.nxml,exact,B,yes
400,Nivolumab,ยาชีวภาพ,Nivolumab.nxml,exact,A,no
401,Ocrelizumab,ยาชีวภาพ,Ocrelizumab.nxml,exact,C,no
402,Octreotide,ยาชีวภาพ,Octreotide.nxml,exact,C,no
403,Omalizumab,ยาชีวภาพ,Omalizumab.nxml,exact,E,no
404,Panitumumab,ยาชีวภาพ,Panitumumab.nxml,exact,E,no
405,Pasireotide,ยาชีวภาพ,Pasireotide.nxml,exact,E*,no
406,Pembrolizumab,ยาชีวภาพ,Pembrolizumab.nxml,exact,A,no
407,Pertuzumab,ยาชีวภาพ,Pertuzumab.nxml,exact,E,no
408,Ramucirumab,ยาชีวภาพ,Ramucirumab.nxml,exact,E*,no
409,Rasburicase,ยาชีวภาพ,Rasburicase.nxml,exact,D,yes
410,Risankizumab,ยาชีวภาพ,Risankizumab.nxml,exact,E,no
411,Romosozumab,ยาชีวภาพ,Romosozumab.nxml,exact,E,no
412,Semaglutide,ยาชีวภาพ,Semaglutide.nxml,exact,D,yes
413,Teriparatide,ยาชีวภาพ,Teriparatide.nxml,exact,E,no
414,Tirzepatide,ยาชีวภาพ,Tirzepatide.nxml,exact,C,yes
415,Trastuzumab deruxtecan,ยาชีวภาพ,TrastuzumabDeruxtecam.nxml,fuzzy,E*,no
416,Trastuzumab emtansine,ยาชีวภาพ,TrastuzumabEmtansine.nxml,exact,B,no
417,Ustekinumab,ยาชีวภาพ,Ustekinumab.nxml,exact,E*,no
418,Abemaciclib,ยาแผนปัจจุบัน,Abemaciclib.nxml,exact,C,no
419,Abiraterone,ยาแผนปัจจุบัน,Abiraterone.nxml,exact,C,no
420,Abrocitinib,ยาแผนปัจจุบัน,Abrocitinib.nxml,exact,E,no
421,Acalabrutinib,ยาแผนปัจจุบัน,Acalabrutinib.nxml,exact,D,no
422,Acarbose,ยาแผนปัจจุบัน,Acarbose.nxml,exact,B,yes
423,Acebutolol,ยาแผนปัจจุบัน,Acebutolol.nxml,exact,C,no
424,Aclidinium,ยาแผนปัจจุบัน,Aclidinium.nxml,exact,-,no
425,Adefovir,ยาแผนปัจจุบัน,Adefovir.nxml,exact,-,yes
426,Afatinib,ยาแผนปัจจุบัน,Afatinib.nxml,exact,D,no
427,Alectinib,ยาแผนปัจจุบัน,Alectinib.nxml,exact,D,no
428,Alfuzosin,ยาแผนปัจจุบัน,Alfuzosin.nxml,exact,C,no
429,Alogliptin,ยาแผนปัจจุบัน,Alogliptin.nxml,exact,E*,no
430,Alpelisib,ยาแผนปัจจุบัน,Alpelisib.nxml,exact,E*,no
431,Alprazolam,ยาแผนปัจจุบัน,Alprazolam.nxml,exact,D,yes
432,Amantadine,ยาแผนปัจจุบัน,Amantadine.nxml,exact,E,no
433,Ambrisentan,ยาแผนปัจจุบัน,Ambrisentan.nxml,exact,E,no
434,Amifampridine,ยาแผนปัจจุบัน,Amifampridine.nxml,exact,E,no
435,Amiloride,ยาแผนปัจจุบัน,Amiloride.nxml,exact,D,yes
436,Amiodarone,ยาแผนปัจจุบัน,Amiodarone.nxml,exact,A,no
437,Amisulpride,ยาแผนปัจจุบัน,Amisulpride.nxml,exact,E,no
438,Amitriptyline,ยาแผนปัจจุบัน,Amitriptyline.nxml,exact,B,no
439,Amlodipine,ยาแผนปัจจุบัน,Amlodipine.nxml,exact,C,yes
440,Amodiaquine,ยาแผนปัจจุบัน,Amodiaquine.nxml,exact,A,no
441,Ampicillin/Sulbactam,ยาแผนปัจจุบัน,AmpicillinSulbactam.nxml,exact,C,no
442,Anagrelide,ยาแผนปัจจุบัน,Anagrelide.nxml,exact,E*,no
443,Anakinra,ยาแผนปัจจุบัน,Anakinra.nxml,exact,C,yes
444,Apalutamide,ยาแผนปัจจุบัน,Apalutamide.nxml,exact,E,no
445,Apremilast,ยาแผนปัจจุบัน,Apremilast.nxml,exact,E,no
446,Aprepitant,ยาแผนปัจจุบัน,Aprepitant.nxml,exact,E,no
447,Asciminib,ยาแผนปัจจุบัน,Asciminib.nxml,exact,E*,no
448,Asenapine,ยาแผนปัจจุบัน,Asenapine.nxml,exact,D,no
449,Atazanavir,ยาแผนปัจจุบัน,Atazanavir.nxml,exact,D,yes
450,Atomoxetine,ยาแผนปัจจุบัน,Atomoxetine.nxml,exact,C,yes
451,Atovaquone,ยาแผนปัจจุบัน,Atovaquone.nxml,exact,D,yes
452,Atropine/Homatropine,ยาแผนปัจจุบัน,Atropine_Homatropine.nxml,exact,E,no
453,Axitinib,ยาแผนปัจจุบัน,Axitinib.nxml,exact,E*,no
454,Azacitidine,ยาแผนปัจจุบัน,Azacitidine.nxml,exact,E*,no
455,Aztreonam,ยาแผนปัจจุบัน,Aztreonam.nxml,exact,E,no
456,Baloxavir,ยาแผนปัจจุบัน,Baloxavir.nxml,exact,E,no
457,Baricitinib,ยาแผนปัจจุบัน,Baricitinib.nxml,exact,E*,no
458,Bedaquiline,ยาแผนปัจจุบัน,Bedaquiline.nxml,exact,E*,no
459,Benazepril,ยาแผนปัจจุบัน,Benazepril.nxml,exact,D,no
460,Bendamustine,ยาแผนปัจจุบัน,Bendamustine.nxml,exact,C,yes
461,Benztropine,ยาแผนปัจจุบัน,Benztropine.nxml,exact,E,no
462,Betaxolol,ยาแผนปัจจุบัน,Betaxolol.nxml,exact,E,no
463,Bictegravir,ยาแผนปัจจุบัน,Bictegravir.nxml,exact,E*,no
464,Biperiden,ยาแผนปัจจุบัน,Biperiden.nxml,exact,E,no
465,Bisoprolol,ยาแผนปัจจุบัน,Bisoprolol.nxml,exact,E,no
466,Bosentan,ยาแผนปัจจุบัน,Bosentan.nxml,exact,C,yes
467,Bosutinib,ยาแผนปัจจุบัน,Bosutinib.nxml,exact,D,no
468,Brexpiprazole,ยาแผนปัจจุบัน,Brexpiprazole.nxml,exact,E,no
469,Brigatinib,ยาแผนปัจจุบัน,Brigatinib.nxml,exact,E*,no
470,Brivaracetam,ยาแผนปัจจุบัน,Brivaracetam.nxml,exact,E,no
471,Brompheniramine/Chlorpheniramine,ยาแผนปัจจุบัน,BrompheniramineChlor.nxml,fuzzy,-,no
472,Buprenorphine,ยาแผนปัจจุบัน,Buprenorphine.nxml,exact,-,yes
473,Bupropion,ยาแผนปัจจุบัน,Bupropion.nxml,exact,C,yes
474,Buspirone,ยาแผนปัจจุบัน,Buspirone.nxml,exact,E,no
475,Cabazitaxel,ยาแผนปัจจุบัน,Cabazitaxel.nxml,exact,E*,no
476,Cabozantinib,ยาแผนปัจจุบัน,Cabozantinib.nxml,exact,E*,no
477,Candesartan,ยาแผนปัจจุบัน,Candesartan.nxml,exact,C,yes
478,Cangrelor,ยาแผนปัจจุบัน,Cangrelor.nxml,exact,E,no
479,Capreomycin,ยาแผนปัจจุบัน,Capreomycin.nxml,exact,E,no
480,Carfilzomib,ยาแผนปัจจุบัน,Carfilzomib.nxml,exact,D,no
481,Celecoxib,ยาแผนปัจจุบัน,Celecoxib.nxml,exact,B,no
482,Ceritinib,ยาแผนปัจจุบัน,Ceritinib.nxml,exact,D,no
483,Cetirizine/Levocetirizine,ยาแผนปัจจุบัน,Cetirizine_Levocetir.nxml,fuzzy,C,no
484,Chloroquine,ยาแผนปัจจุบัน,Chloroquine.nxml,exact,D,no
485,Chlorpromazine,ยาแผนปัจจุบัน,Chlorpromazine.nxml,exact,A,no
486,Chlorzoxazone,ยาแผนปัจจุบัน,Chlorzoxazone.nxml,exact,B,no
487,Cilostazol,ยาแผนปัจจุบัน,Cilostazol.nxml,exact,E,no
488,Cimetidine,ยาแผนปัจจุบัน,Cimetidine.nxml,exact,B,no
489,Citalopram/Escitalopram,ยาแผนปัจจุบัน,CitalopramEscitalopr.nxml,fuzzy,C,yes
490,Cladribine,ยาแผนปัจจุบัน,Cladribine.nxml,exact,D,no
491,Clemastine,ยาแผนปัจจุบัน,Clemastine.nxml,exact,E,no
492,Clofarabine,ยาแผนปัจจุบัน,Clofarabine.nxml,exact,D,no
493,Clomiphene,ยาแผนปัจจุบัน,Clomiphene.nxml,exact,C,no
494,Clomipramine,ยาแผนปัจจุบัน,Clomipramine.nxml,exact,D,no
495,Clonidine,ยาแผนปัจจุบัน,Clonidine.nxml,exact,E,no
496,Clopidogrel,ยาแผนปัจจุบัน,Clopidogrel.nxml,exact,B,yes
497,Clorazepate,ยาแผนปัจจุบัน,Clorazepate.nxml,exact,D,yes
498,Cobimetinib,ยาแผนปัจจุบัน,Cobimetinib.nxml,exact,D,no
499,Codeine,ยาแผนปัจจุบัน,Codeine.nxml,exact,-,no
500,Colesevelam,ยาแผนปัจจุบัน,Colesevelam.nxml,exact,E,no
501,Crizotinib,ยาแผนปัจจุบัน,Crizotinib.nxml,exact,C,no
502,Cyclizine/Chlorcyclizine,ยาแผนปัจจุบัน,CyclizineChlorcycl.nxml,fuzzy,E,no
503,Cyclobenzaprine,ยาแผนปัจจุบัน,Cyclobenzaprine.nxml,exact,E*,no
504,Cyproheptadine,ยาแผนปัจจุบัน,Cyproheptadine.nxml,exact,C,no
505,Dabigatran,ยาแผนปัจจุบัน,Dabigatran.nxml,exact,D,no
506,Dabrafenib,ยาแผนปัจจุบัน,Dabrafenib.nxml,exact,E*,no
507,Daclatasvir,ยาแผนปัจจุบัน,Daclatasvir.nxml,exact,C,no
508,Dacomitinib,ยาแผนปัจจุบัน,Dacomitinib.nxml,exact,E*,no
509,Daptomycin,ยาแผนปัจจุบัน,Daptomycin.nxml,exact,C,yes
510,Darifenacin,ยาแผนปัจจุบัน,Darifenacin.nxml,exact,E,no
511,Darolutamide,ยาแผนปัจจุบัน,Darolutamide.nxml,exact,E,no
512,Daunorubicin,ยาแผนปัจจุบัน,Daunorubicin.nxml,exact,E*,no
513,Decitabine,ยาแผนปัจจุบัน,Decitabine.nxml,exact,E*,no
514,Desipramine,ยาแผนปัจจุบัน,Desipramine.nxml,exact,D,no
515,Diazepam (Oral),ยาแผนปัจจุบัน,DiazepamOral.nxml,exact,D,yes
516,Dicyclomine,ยาแผนปัจจุบัน,Dicyclomine.nxml,exact,-,no
517,Diethylpropion,ยาแผนปัจจุบัน,Diethylpropion.nxml,exact,E,no
518,Diflunisal,ยาแผนปัจจุบัน,Diflunisal.nxml,exact,C,yes
519,Diltiazem,ยาแผนปัจจุบัน,Diltiazem.nxml,exact,C,no
520,DimethylFumarate,ยาแผนปัจจุบัน,DimethylFumarate.nxml,exact,-,yes
521,Diphenhydramine,ยาแผนปัจจุบัน,Diphenhydramine.nxml,exact,E,no
522,Diphenoxylate,ยาแผนปัจจุบัน,Diphenoxylate.nxml,exact,-,no
523,Dipyridamole,ยาแผนปัจจุบัน,Dipyridamole.nxml,exact,E*,no
524,Disopyramide,ยาแผนปัจจุบัน,Disopyramide.nxml,exact,B,yes
525,Docusate,ยาแผนปัจจุบัน,Docusate.nxml,exact,E,no
526,Donepezil,ยาแผนปัจจุบัน,Donepezil.nxml,exact,D,yes
527,Doravirine,ยาแผนปัจจุบัน,Doravirine.nxml,exact,E*,no
528,Doripenem,ยาแผนปัจจุบัน,Doripenem.nxml,exact,E*,no
529,Doxazosin,ยาแผนปัจจุบัน,Doxazosin.nxml,exact,E*,no
530,Doxepin,ยาแผนปัจจุบัน,Doxepin.nxml,exact,C,no
531,Doxorubicin/Epirubicin,ยาแผนปัจจุบัน,DoxorubicinEpirubici.nxml,fuzzy,-,no
532,Doxylamine,ยาแผนปัจจุบัน,Doxylamine.nxml,exact,E,no
533,Dronedarone,ยาแผนปัจจุบัน,Dronedarone.nxml,exact,B,no
534,Duloxetine,ยาแผนปัจจุบัน,Duloxetine.nxml,exact,B,no
535,Dutasteride,ยาแผนปัจจุบัน,Dutasteride.nxml,exact,E,no
536,Edoxaban,ยาแผนปัจจุบัน,Edoxaban.nxml,exact,D,no
537,Elvitegravir/Cobicistat,ยาแผนปัจจุบัน,Elvitegravir_Cobicis.nxml,fuzzy,-,no
538,Enalapril,ยาแผนปัจจุบัน,Enalapril.nxml,exact,B,no
539,Encorafenib/Binimetinib,ยาแผนปัจจุบัน,EncorafenibBinimetin.nxml,fuzzy,E*,no
540,Entrectinib,ยาแผนปัจจุบัน,Entrectinib.nxml,exact,E*,no
541,Enzalutamide,ยาแผนปัจจุบัน,Enzalutamide.nxml,exact,E,no
542,Eplerenone,ยาแผนปัจจุบัน,Eplerenone.nxml,exact,E*,no
543,Eribulin,ยาแผนปัจจุบัน,Eribulin.nxml,exact,E*,no
544,Eslicarbazepine,ยาแผนปัจจุบัน,Eslicarbazepine.nxml,exact,D,no
545,Esmolol,ยาแผนปัจจุบัน,Esmolol.nxml,exact,E,no
546,Estazolam,ยาแผนปัจจุบัน,Estazolam.nxml,exact,E,no
547,Eszopiclone,ยาแผนปัจจุบัน,Eszopiclone.nxml,exact,E,no
548,Ethambutol,ยาแผนปัจจุบัน,Ethambutol.nxml,exact,C,yes
549,Ethosuximide,ยาแผนปัจจุบัน,Ethosuximide.nxml,exact,E*,no
550,Etodolac,ยาแผนปัจจุบัน,Etodolac.nxml,exact,C,no
551,Etoposide/Teniposide,ยาแผนปัจจุบัน,EtoposideTeniposide.nxml,exact,-,yes
552,Etravirine,ยาแผนปัจจุบัน,Etravirine.nxml,exact,D,no
553,Exemestane,ยาแผนปัจจุบัน,Exemestane.nxml,exact,C,yes
554,Famciclovir,ยาแผนปัจจุบัน,Famciclovir.nxml,exact,E,no
555,Felodipine,ยาแผนปัจจุบัน,Felodipine.nxml,exact,-,no
556,FentanylAndAnalogues,ยาแผนปัจจุบัน,FentanylAndAnalogues.nxml,exact,E,no
557,Fesoterodine,ยาแผนปัจจุบัน,Fesoterodine.nxml,exact,E,no
558,Fexofenadine,ยาแผนปัจจุบัน,Fexofenadine.nxml,exact,E,no
559,Finerenone,ยาแผนปัจจุบัน,Finerenone.nxml,exact,E,no
560,Fingolimod,ยาแผนปัจจุบัน,Fingolimod.nxml,exact,C,no
561,Flavoxate,ยาแผนปัจจุบัน,Flavoxate.nxml,exact,-,no
562,Flecainide,ยาแผนปัจจุบัน,Flecainide.nxml,exact,C,yes
563,Fludarabine,ยาแผนปัจจุบัน,Fludarabine.nxml,exact,E*,no
564,Fluoxetine,ยาแผนปัจจุบัน,Fluoxetine.nxml,exact,C,yes
565,Flurazepam,ยาแผนปัจจุบัน,Flurazepam.nxml,exact,D,no
566,Flurbiprofen,ยาแผนปัจจุบัน,Flurbiprofen.nxml,exact,C,yes
567,Flutamide,ยาแผนปัจจุบัน,Flutamide.nxml,exact,A,no
568,Fluvastatin,ยาแผนปัจจุบัน,Fluvastatin.nxml,exact,B,no
569,Fluvoxamine,ยาแผนปัจจุบัน,Fluvoxamine.nxml,exact,D,no
570,Foscarnet,ยาแผนปัจจุบัน,Foscarnet.nxml,exact,D,no
571,Fosinopril,ยาแผนปัจจุบัน,Fosinopril.nxml,exact,D,yes
572,Fosnetupitant,ยาแผนปัจจุบัน,Fosnetupitant.nxml,exact,E,no
573,Fosphenytoin,ยาแผนปัจจุบัน,Fosphenytoin.nxml,exact,A,no
574,Fulvestrant,ยาแผนปัจจุบัน,Fulvestrant.nxml,exact,E*,no
575,Futibatinib,ยาแผนปัจจุบัน,Futibatinib.nxml,exact,E*,no
576,Galantamine,ยาแผนปัจจุบัน,Galantamine.nxml,exact,E,no
